EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_GENDER	FR_SEXE	EN_SKILL_LEVEL	FR_NIVEAU_DE_COMPÉTENCE	TOTAL
2021	Q3	Sep	2021	T3	sept.	Female	Femmes	Other occupations	Autres occupations	13155
2017	Q2	Apr	2017	T2	avr.	Male	Hommes	Other occupations	Autres occupations	10565
2018	Q3	Aug	2018	T3	août	Another gender	Un autre genre	Other occupations	Autres occupations	--
2025	Q2	Apr	2025	T2	avr.	Female	Femmes	Other occupations	Autres occupations	19690
2023	Q4	Oct	2023	T4	oct.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2020	Q1	Feb	2020	T1	fév.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2021	Q2	Apr	2021	T2	avr.	Male	Hommes	Other occupations	Autres occupations	12555
2015	Q2	Jun	2015	T2	juin	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	10
2018	Q4	Oct	2018	T4	oct.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q3	Sep	2022	T3	sept.	Female	Femmes	Other occupations	Autres occupations	24905
2017	Q4	Nov	2017	T4	nov.	Female	Femmes	Other occupations	Autres occupations	9025
2023	Q1	Mar	2023	T1	mars	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2020	Q3	Jul	2020	T3	juil.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2021	Q3	Jul	2021	T3	juil.	Male	Hommes	Other occupations	Autres occupations	16930
2017	Q2	Jun	2017	T2	juin	Male	Hommes	Other occupations	Autres occupations	13660
2019	Q4	Oct	2019	T4	oct.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2016	Q4	Nov	2016	T4	nov.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2019	Q3	Aug	2019	T3	août	Male	Hommes	Other occupations	Autres occupations	15545
2017	Q4	Oct	2017	T4	oct.	Female	Femmes	Other occupations	Autres occupations	10535
2020	Q1	Jan	2020	T1	janv.	Female	Femmes	Other occupations	Autres occupations	11600
2023	Q1	Jan	2023	T1	janv.	Another gender	Un autre genre	Other occupations	Autres occupations	5
2024	Q1	Mar	2024	T1	mars	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q1	Feb	2022	T1	fév.	Female	Femmes	Other occupations	Autres occupations	10035
2018	Q1	Feb	2018	T1	fév.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2025	Q3	Sep	2025	T3	sept.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2022	Q1	Feb	2022	T1	fév.	Male	Hommes	Other occupations	Autres occupations	12575
2020	Q3	Sep	2020	T3	sept.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q1	Mar	2022	T1	mars	Female	Femmes	Other occupations	Autres occupations	11475
2022	Q3	Sep	2022	T3	sept.	Another gender	Un autre genre	Other occupations	Autres occupations	5
2018	Q3	Jul	2018	T3	juil.	Another gender	Un autre genre	Other occupations	Autres occupations	5
2023	Q2	Apr	2023	T2	avr.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2022	Q2	May	2022	T2	mai	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2017	Q2	May	2017	T2	mai	Female	Femmes	Other occupations	Autres occupations	10045
2016	Q4	Dec	2016	T4	déc.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2022	Q3	Aug	2022	T3	août	Female	Femmes	Other occupations	Autres occupations	22430
2020	Q3	Sep	2020	T3	sept.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2023	Q3	Sep	2023	T3	sept.	Male	Hommes	Other occupations	Autres occupations	39660
2023	Q4	Nov	2023	T4	nov.	Another gender	Un autre genre	Other occupations	Autres occupations	5
2015	Q2	Apr	2015	T2	avr.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2016	Q1	Jan	2016	T1	janv.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2015	Q4	Oct	2015	T4	oct.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	65
2018	Q1	Mar	2018	T1	mars	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	50
2018	Q1	Feb	2018	T1	fév.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2016	Q3	Aug	2016	T3	août	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	5
2021	Q1	Feb	2021	T1	fév.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2021	Q4	Oct	2021	T4	oct.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	10
2021	Q1	Feb	2021	T1	fév.	Male	Hommes	Other occupations	Autres occupations	18670
2019	Q4	Nov	2019	T4	nov.	Female	Femmes	Other occupations	Autres occupations	12535
2019	Q4	Dec	2019	T4	déc.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	50
2019	Q1	Feb	2019	T1	fév.	Male	Hommes	Other occupations	Autres occupations	10620
2018	Q1	Jan	2018	T1	janv.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2017	Q3	Jul	2017	T3	juil.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	55
2017	Q4	Dec	2017	T4	déc.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	45
2021	Q1	Feb	2021	T1	fév.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	35
2019	Q4	Nov	2019	T4	nov.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2018	Q2	Jun	2018	T2	juin	Female	Femmes	Other occupations	Autres occupations	12285
2018	Q3	Sep	2018	T3	sept.	Male	Hommes	Other occupations	Autres occupations	14105
2025	Q4	Dec	2025	T4	déc.	Female	Femmes	Other occupations	Autres occupations	23620
2023	Q4	Nov	2023	T4	nov.	Female	Femmes	Other occupations	Autres occupations	30545
2021	Q2	May	2021	T2	mai	Female	Femmes	Other occupations	Autres occupations	10265
2025	Q4	Oct	2025	T4	oct.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q2	May	2022	T2	mai	Male	Hommes	Other occupations	Autres occupations	17940
2021	Q4	Dec	2021	T4	déc.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	5
2020	Q4	Oct	2020	T4	oct.	Another gender	Un autre genre	Other occupations	Autres occupations	5
2023	Q2	May	2023	T2	mai	Female	Femmes	Other occupations	Autres occupations	30630
2019	Q4	Oct	2019	T4	oct.	Female	Femmes	Other occupations	Autres occupations	13625
2018	Q3	Jul	2018	T3	juil.	Female	Femmes	Other occupations	Autres occupations	13330
2021	Q2	Apr	2021	T2	avr.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2018	Q3	Sep	2018	T3	sept.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2019	Q1	Jan	2019	T1	janv.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2015	Q4	Oct	2015	T4	oct.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	20
2025	Q4	Dec	2025	T4	déc.	Male	Hommes	Other occupations	Autres occupations	26235
2020	Q3	Sep	2020	T3	sept.	Male	Hommes	Other occupations	Autres occupations	9055
2016	Q1	Feb	2016	T1	fév.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2021	Q2	Apr	2021	T2	avr.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2017	Q1	Jan	2017	T1	janv.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2018	Q1	Mar	2018	T1	mars	Female	Femmes	Other occupations	Autres occupations	7675
2022	Q2	May	2022	T2	mai	Another gender	Un autre genre	Other occupations	Autres occupations	--
2019	Q2	Apr	2019	T2	avr.	Female	Femmes	Other occupations	Autres occupations	10235
2019	Q3	Aug	2019	T3	août	Another gender	Un autre genre	Other occupations	Autres occupations	5
2016	Q3	Sep	2016	T3	sept.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2019	Q1	Jan	2019	T1	janv.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	5
2019	Q1	Mar	2019	T1	mars	Female	Femmes	Other occupations	Autres occupations	7830
2025	Q1	Feb	2025	T1	fév.	Female	Femmes	Other occupations	Autres occupations	26345
