EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_AGE	FR_ÂGE	TOTAL
2015	Q1	Feb	2015	T1	fév.	Yukon	Yukon	75 years old or more	75 ans et plus	--
2015	Q1	Jan	2015	T1	janv.	Alberta	Alberta	0 to 14 years old	0 à 14 ans	350
2015	Q1	Jan	2015	T1	janv.	Alberta	Alberta	15 to 29 years old	15 à 29 ans	590
2015	Q1	Jan	2015	T1	janv.	Alberta	Alberta	30 to 44 years old	30 à 44 ans	695
2015	Q1	Jan	2015	T1	janv.	Alberta	Alberta	45 to 59 years old	45 à 59 ans	175
2015	Q1	Jan	2015	T1	janv.	Alberta	Alberta	60 to 74 years old	60 à 74 ans	75
2015	Q1	Jan	2015	T1	janv.	Alberta	Alberta	75 years old or more	75 ans et plus	5
2015	Q1	Jan	2015	T1	janv.	Alberta	Alberta	Age not stated	Âge non déclaré	--
2015	Q1	Jan	2015	T1	janv.	British Columbia	Colombie-Britannique	0 to 14 years old	0 à 14 ans	230
2015	Q1	Jan	2015	T1	janv.	British Columbia	Colombie-Britannique	15 to 29 years old	15 à 29 ans	600
2015	Q1	Jan	2015	T1	janv.	British Columbia	Colombie-Britannique	30 to 44 years old	30 à 44 ans	730
2015	Q1	Jan	2015	T1	janv.	British Columbia	Colombie-Britannique	45 to 59 years old	45 à 59 ans	240
2015	Q1	Jan	2015	T1	janv.	British Columbia	Colombie-Britannique	60 to 74 years old	60 à 74 ans	95
2015	Q1	Jan	2015	T1	janv.	British Columbia	Colombie-Britannique	75 years old or more	75 ans et plus	15
2015	Q1	Jan	2015	T1	janv.	Manitoba	Manitoba	0 to 14 years old	0 à 14 ans	170
2015	Q1	Jan	2015	T1	janv.	Manitoba	Manitoba	15 to 29 years old	15 à 29 ans	230
2015	Q1	Jan	2015	T1	janv.	Manitoba	Manitoba	30 to 44 years old	30 à 44 ans	260
2015	Q1	Jan	2015	T1	janv.	Manitoba	Manitoba	45 to 59 years old	45 à 59 ans	45
2015	Q1	Jan	2015	T1	janv.	Manitoba	Manitoba	60 to 74 years old	60 à 74 ans	5
2015	Q1	Jan	2015	T1	janv.	Manitoba	Manitoba	75 years old or more	75 ans et plus	--
2015	Q1	Jan	2015	T1	janv.	New Brunswick	Nouveau-Brunswick	0 to 14 years old	0 à 14 ans	25
2015	Q1	Jan	2015	T1	janv.	New Brunswick	Nouveau-Brunswick	15 to 29 years old	15 à 29 ans	30
2015	Q1	Jan	2015	T1	janv.	New Brunswick	Nouveau-Brunswick	30 to 44 years old	30 à 44 ans	40
2015	Q1	Jan	2015	T1	janv.	New Brunswick	Nouveau-Brunswick	45 to 59 years old	45 à 59 ans	25
2015	Q1	Jan	2015	T1	janv.	New Brunswick	Nouveau-Brunswick	60 to 74 years old	60 à 74 ans	--
2015	Q1	Jan	2015	T1	janv.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	0 to 14 years old	0 à 14 ans	10
2015	Q1	Jan	2015	T1	janv.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	15 to 29 years old	15 à 29 ans	15
2015	Q1	Jan	2015	T1	janv.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	30 to 44 years old	30 à 44 ans	20
2015	Q1	Jan	2015	T1	janv.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	45 to 59 years old	45 à 59 ans	--
2015	Q1	Jan	2015	T1	janv.	Northwest Territories	Territoires du Nord-Ouest	0 to 14 years old	0 à 14 ans	--
2015	Q1	Jan	2015	T1	janv.	Northwest Territories	Territoires du Nord-Ouest	15 to 29 years old	15 à 29 ans	--
2015	Q1	Jan	2015	T1	janv.	Northwest Territories	Territoires du Nord-Ouest	30 to 44 years old	30 à 44 ans	--
2015	Q1	Jan	2015	T1	janv.	Northwest Territories	Territoires du Nord-Ouest	45 to 59 years old	45 à 59 ans	--
2015	Q1	Jan	2015	T1	janv.	Nova Scotia	Nouvelle-Écosse	0 to 14 years old	0 à 14 ans	30
2015	Q1	Jan	2015	T1	janv.	Nova Scotia	Nouvelle-Écosse	15 to 29 years old	15 à 29 ans	25
2015	Q1	Jan	2015	T1	janv.	Nova Scotia	Nouvelle-Écosse	30 to 44 years old	30 à 44 ans	50
2015	Q1	Jan	2015	T1	janv.	Nova Scotia	Nouvelle-Écosse	45 to 59 years old	45 à 59 ans	15
2015	Q1	Jan	2015	T1	janv.	Nova Scotia	Nouvelle-Écosse	60 to 74 years old	60 à 74 ans	--
