EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_GENDER	FR_SEXE	TOTAL
2023	Q1	Jan	2023	T1	janv.	Saskatchewan	Saskatchewan	Male	Hommes	1080
2024	Q2	Apr	2024	T2	avr.	Quebec	Québec	Male	Hommes	2575
2018	Q2	Apr	2018	T2	avr.	Alberta	Alberta	Female	Femmes	2020
2021	Q3	Sep	2021	T3	sept.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	190
2025	Q1	Jan	2025	T1	janv.	Quebec	Québec	Male	Hommes	1020
2015	Q4	Nov	2015	T4	nov.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	10
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	Female	Femmes	1170
2024	Q2	Jun	2024	T2	juin	British Columbia	Colombie-Britannique	Female	Femmes	2635
2021	Q2	May	2021	T2	mai	Quebec	Québec	Male	Hommes	1165
2022	Q3	Aug	2022	T3	août	Ontario	Ontario	Female	Femmes	6940
2016	Q4	Oct	2016	T4	oct.	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	10
2018	Q2	Jun	2018	T2	juin	Quebec	Québec	Another gender	Un autre genre	--
2020	Q1	Jan	2020	T1	janv.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	215
2024	Q1	Feb	2024	T1	fév.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	20
2015	Q4	Dec	2015	T4	déc.	Ontario	Ontario	Female	Femmes	4940
2021	Q2	Apr	2021	T2	avr.	Quebec	Québec	Another gender	Un autre genre	--
2022	Q1	Mar	2022	T1	mars	British Columbia	Colombie-Britannique	Male	Hommes	3450
2020	Q1	Jan	2020	T1	janv.	Alberta	Alberta	Female	Femmes	1480
2015	Q3	Sep	2015	T3	sept.	Manitoba	Manitoba	Female	Femmes	670
2024	Q1	Jan	2024	T1	janv.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	230
2021	Q3	Aug	2021	T3	août	Quebec	Québec	Male	Hommes	2125
2022	Q3	Aug	2022	T3	août	Nova Scotia	Nouvelle-Écosse	Male	Hommes	585
2015	Q2	May	2015	T2	mai	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	60
2021	Q1	Feb	2021	T1	fév.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	--
2018	Q1	Jan	2018	T1	janv.	Yukon	Yukon	Male	Hommes	15
2024	Q1	Feb	2024	T1	fév.	Alberta	Alberta	Male	Hommes	2670
2018	Q1	Mar	2018	T1	mars	Saskatchewan	Saskatchewan	Male	Hommes	760
2017	Q1	Mar	2017	T1	mars	Nunavut	Nunavut	Male	Hommes	--
2024	Q3	Jul	2024	T3	juil.	British Columbia	Colombie-Britannique	Another gender	Un autre genre	--
2021	Q4	Nov	2021	T4	nov.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	165
2018	Q3	Aug	2018	T3	août	Yukon	Yukon	Male	Hommes	15
2022	Q2	May	2022	T2	mai	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	10
2018	Q3	Sep	2018	T3	sept.	Saskatchewan	Saskatchewan	Female	Femmes	745
2022	Q2	Jun	2022	T2	juin	Quebec	Québec	Male	Hommes	3555
2018	Q4	Dec	2018	T4	déc.	Ontario	Ontario	Female	Femmes	5060
2018	Q1	Mar	2018	T1	mars	Nunavut	Nunavut	Male	Hommes	--
2023	Q4	Oct	2023	T4	oct.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	125
2025	Q2	Jun	2025	T2	juin	Alberta	Alberta	Female	Femmes	2530
2018	Q2	Apr	2018	T2	avr.	Ontario	Ontario	Male	Hommes	5900
2015	Q3	Sep	2015	T3	sept.	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	10
2015	Q4	Oct	2015	T4	oct.	Ontario	Ontario	Male	Hommes	4225
2019	Q3	Sep	2019	T3	sept.	Manitoba	Manitoba	Female	Femmes	1020
2022	Q2	Apr	2022	T2	avr.	British Columbia	Colombie-Britannique	Female	Femmes	2660
2021	Q3	Jul	2021	T3	juil.	New Brunswick	Nouveau-Brunswick	Female	Femmes	275
2018	Q3	Sep	2018	T3	sept.	Saskatchewan	Saskatchewan	Male	Hommes	785
2022	Q2	May	2022	T2	mai	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	15
2021	Q2	May	2021	T2	mai	British Columbia	Colombie-Britannique	Female	Femmes	1455
2017	Q3	Jul	2017	T3	juil.	Province/territory not stated	Province / territoire non déclaré(e)	Male	Hommes	--
2019	Q3	Sep	2019	T3	sept.	Quebec	Québec	Female	Femmes	2125
2018	Q3	Sep	2018	T3	sept.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	310
2024	Q2	May	2024	T2	mai	Nova Scotia	Nouvelle-Écosse	Another gender	Un autre genre	--
2023	Q3	Sep	2023	T3	sept.	Yukon	Yukon	Female	Femmes	25
2021	Q4	Nov	2021	T4	nov.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	115
2022	Q2	Apr	2022	T2	avr.	British Columbia	Colombie-Britannique	Male	Hommes	2620
2019	Q2	Apr	2019	T2	avr.	British Columbia	Colombie-Britannique	Female	Femmes	1980
2019	Q3	Sep	2019	T3	sept.	Quebec	Québec	Male	Hommes	2075
2020	Q4	Nov	2020	T4	nov.	Saskatchewan	Saskatchewan	Female	Femmes	250
2015	Q3	Sep	2015	T3	sept.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	10
2016	Q3	Sep	2016	T3	sept.	Yukon	Yukon	Female	Femmes	10
2015	Q2	Jun	2015	T2	juin	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2019	Q2	May	2019	T2	mai	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	--
2025	Q1	Mar	2025	T1	mars	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	100
2019	Q2	Apr	2019	T2	avr.	British Columbia	Colombie-Britannique	Male	Hommes	1755
2023	Q2	Jun	2023	T2	juin	British Columbia	Colombie-Britannique	Male	Hommes	2840
2022	Q1	Jan	2022	T1	janv.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	465
2022	Q2	May	2022	T2	mai	New Brunswick	Nouveau-Brunswick	Female	Femmes	360
2024	Q2	Apr	2024	T2	avr.	Saskatchewan	Saskatchewan	Female	Femmes	1115
2018	Q2	Apr	2018	T2	avr.	Ontario	Ontario	Female	Femmes	6295
2023	Q4	Dec	2023	T4	déc.	Quebec	Québec	Male	Hommes	1290
2016	Q2	Jun	2016	T2	juin	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	160
2022	Q3	Aug	2022	T3	août	Yukon	Yukon	Male	Hommes	20
2017	Q1	Mar	2017	T1	mars	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2018	Q3	Jul	2018	T3	juil.	Alberta	Alberta	Another gender	Un autre genre	--
2022	Q4	Oct	2022	T4	oct.	Manitoba	Manitoba	Female	Femmes	945
2015	Q4	Dec	2015	T4	déc.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	170
2020	Q3	Sep	2020	T3	sept.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	130
2016	Q1	Jan	2016	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	75
2020	Q3	Sep	2020	T3	sept.	Saskatchewan	Saskatchewan	Male	Hommes	295
2024	Q3	Aug	2024	T3	août	Alberta	Alberta	Female	Femmes	2810
2018	Q1	Mar	2018	T1	mars	Alberta	Alberta	Male	Hommes	2015
2017	Q4	Dec	2017	T4	déc.	Yukon	Yukon	Male	Hommes	5
2022	Q2	May	2022	T2	mai	Alberta	Alberta	Female	Femmes	2355
2016	Q2	May	2016	T2	mai	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	80
2022	Q4	Dec	2022	T4	déc.	British Columbia	Colombie-Britannique	Male	Hommes	1290
2016	Q2	May	2016	T2	mai	Ontario	Ontario	Male	Hommes	5110
2022	Q2	Jun	2022	T2	juin	Alberta	Alberta	Male	Hommes	2445
2023	Q2	Jun	2023	T2	juin	New Brunswick	Nouveau-Brunswick	Male	Hommes	495
2016	Q3	Aug	2016	T3	août	Quebec	Québec	Male	Hommes	2340
2015	Q4	Nov	2015	T4	nov.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	40
2015	Q1	Feb	2015	T1	fév.	Yukon	Yukon	Male	Hommes	10
2026	Q1	Jan	2026	T1	janv.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	310
2016	Q2	May	2016	T2	mai	Nova Scotia	Nouvelle-Écosse	Female	Femmes	270
2024	Q1	Feb	2024	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	235
2020	Q2	Jun	2020	T2	juin	Manitoba	Manitoba	Male	Hommes	375
2024	Q3	Sep	2024	T3	sept.	British Columbia	Colombie-Britannique	Male	Hommes	1920
2024	Q3	Sep	2024	T3	sept.	Ontario	Ontario	Female	Femmes	8915
2015	Q4	Dec	2015	T4	déc.	Quebec	Québec	Female	Femmes	2555
2017	Q2	Jun	2017	T2	juin	Yukon	Yukon	Male	Hommes	5
2018	Q4	Dec	2018	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	50
2020	Q3	Jul	2020	T3	juil.	Yukon	Yukon	Female	Femmes	10
2022	Q1	Feb	2022	T1	fév.	British Columbia	Colombie-Britannique	Female	Femmes	3550
2017	Q1	Jan	2017	T1	janv.	Quebec	Québec	Male	Hommes	1680
2022	Q4	Nov	2022	T4	nov.	British Columbia	Colombie-Britannique	Male	Hommes	1150
2021	Q3	Aug	2021	T3	août	Alberta	Alberta	Female	Femmes	1615
2016	Q3	Jul	2016	T3	juil.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	40
2025	Q2	Apr	2025	T2	avr.	Alberta	Alberta	Female	Femmes	1865
2019	Q3	Jul	2019	T3	juil.	Yukon	Yukon	Female	Femmes	25
2016	Q1	Jan	2016	T1	janv.	New Brunswick	Nouveau-Brunswick	Male	Hommes	375
2024	Q4	Dec	2024	T4	déc.	Quebec	Québec	Male	Hommes	1945
2024	Q3	Sep	2024	T3	sept.	New Brunswick	Nouveau-Brunswick	Male	Hommes	620
2021	Q1	Mar	2021	T1	mars	New Brunswick	Nouveau-Brunswick	Male	Hommes	115
2015	Q3	Sep	2015	T3	sept.	Yukon	Yukon	Male	Hommes	10
2024	Q3	Jul	2024	T3	juil.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	345
2018	Q1	Mar	2018	T1	mars	British Columbia	Colombie-Britannique	Female	Femmes	2165
2019	Q1	Feb	2019	T1	fév.	Saskatchewan	Saskatchewan	Male	Hommes	415
2020	Q4	Oct	2020	T4	oct.	Quebec	Québec	Male	Hommes	1205
2016	Q1	Mar	2016	T1	mars	Alberta	Alberta	Male	Hommes	2515
2018	Q3	Sep	2018	T3	sept.	New Brunswick	Nouveau-Brunswick	Male	Hommes	235
2019	Q1	Mar	2019	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	50
