EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_GENDER	FR_SEXE	TOTAL
2025	Q2	Apr	2025	T2	avr.	Quebec	Québec	Male	Hommes	2090
2025	Q2	Apr	2025	T2	avr.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	20
2024	Q4	Oct	2024	T4	oct.	Ontario	Ontario	Female	Femmes	8115
2018	Q3	Jul	2018	T3	juil.	Manitoba	Manitoba	Male	Hommes	590
2019	Q2	May	2019	T2	mai	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	10
2019	Q2	May	2019	T2	mai	Saskatchewan	Saskatchewan	Male	Hommes	705
2017	Q3	Aug	2017	T3	août	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	105
2015	Q1	Feb	2015	T1	fév.	Yukon	Yukon	Female	Femmes	10
2024	Q1	Jan	2024	T1	janv.	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	30
2019	Q3	Jul	2019	T3	juil.	Ontario	Ontario	Male	Hommes	8110
2015	Q3	Jul	2015	T3	juil.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	55
2016	Q2	May	2016	T2	mai	New Brunswick	Nouveau-Brunswick	Female	Femmes	155
2017	Q1	Feb	2017	T1	fév.	Saskatchewan	Saskatchewan	Female	Femmes	510
2022	Q2	May	2022	T2	mai	Manitoba	Manitoba	Male	Hommes	955
2025	Q2	Jun	2025	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	230
2020	Q2	Apr	2020	T2	avr.	Manitoba	Manitoba	Male	Hommes	125
2025	Q1	Mar	2025	T1	mars	Quebec	Québec	Male	Hommes	2245
2016	Q1	Jan	2016	T1	janv.	Saskatchewan	Saskatchewan	Male	Hommes	610
2017	Q3	Aug	2017	T3	août	Alberta	Alberta	Male	Hommes	1265
2019	Q3	Jul	2019	T3	juil.	British Columbia	Colombie-Britannique	Another gender	Un autre genre	--
2024	Q3	Aug	2024	T3	août	British Columbia	Colombie-Britannique	Another gender	Un autre genre	--
2017	Q4	Dec	2017	T4	déc.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2025	Q4	Nov	2025	T4	nov.	Ontario	Ontario	Female	Femmes	5560
2020	Q1	Feb	2020	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	90
2017	Q4	Dec	2017	T4	déc.	Saskatchewan	Saskatchewan	Male	Hommes	400
2023	Q1	Feb	2023	T1	fév.	Yukon	Yukon	Female	Femmes	90
2017	Q1	Feb	2017	T1	fév.	British Columbia	Colombie-Britannique	Female	Femmes	1750
2020	Q1	Jan	2020	T1	janv.	New Brunswick	Nouveau-Brunswick	Male	Hommes	210
2023	Q1	Feb	2023	T1	fév.	Manitoba	Manitoba	Male	Hommes	1880
2020	Q2	May	2020	T2	mai	Saskatchewan	Saskatchewan	Male	Hommes	190
2015	Q4	Oct	2015	T4	oct.	Alberta	Alberta	Male	Hommes	2230
2020	Q2	May	2020	T2	mai	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	45
2022	Q1	Mar	2022	T1	mars	Manitoba	Manitoba	Female	Femmes	895
2018	Q1	Jan	2018	T1	janv.	New Brunswick	Nouveau-Brunswick	Male	Hommes	155
2022	Q1	Feb	2022	T1	fév.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	430
2018	Q2	Apr	2018	T2	avr.	Nunavut	Nunavut	Female	Femmes	--
2023	Q4	Dec	2023	T4	déc.	British Columbia	Colombie-Britannique	Another gender	Un autre genre	--
2016	Q2	Apr	2016	T2	avr.	Province/territory not stated	Province / territoire non déclaré(e)	Male	Hommes	--
2015	Q4	Dec	2015	T4	déc.	Yukon	Yukon	Female	Femmes	--
2018	Q2	Jun	2018	T2	juin	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	95
2020	Q4	Dec	2020	T4	déc.	Alberta	Alberta	Male	Hommes	635
2023	Q3	Aug	2023	T3	août	Yukon	Yukon	Female	Femmes	30
2024	Q2	Jun	2024	T2	juin	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	30
2024	Q2	May	2024	T2	mai	Manitoba	Manitoba	Male	Hommes	1435
2024	Q1	Feb	2024	T1	fév.	Saskatchewan	Saskatchewan	Female	Femmes	895
2015	Q3	Sep	2015	T3	sept.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	50
2021	Q4	Dec	2021	T4	déc.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	610
2025	Q1	Mar	2025	T1	mars	Nova Scotia	Nouvelle-Écosse	Female	Femmes	395
2024	Q2	May	2024	T2	mai	Saskatchewan	Saskatchewan	Male	Hommes	1350
2018	Q4	Oct	2018	T4	oct.	Quebec	Québec	Another gender	Un autre genre	--
2025	Q1	Jan	2025	T1	janv.	British Columbia	Colombie-Britannique	Another gender	Un autre genre	--
2025	Q3	Jul	2025	T3	juil.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2016	Q4	Dec	2016	T4	déc.	Province/territory not stated	Province / territoire non déclaré(e)	Male	Hommes	--
2018	Q2	May	2018	T2	mai	Ontario	Ontario	Male	Hommes	5915
2018	Q2	May	2018	T2	mai	British Columbia	Colombie-Britannique	Male	Hommes	1845
2021	Q1	Jan	2021	T1	janv.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	20
2016	Q3	Sep	2016	T3	sept.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	155
2022	Q3	Jul	2022	T3	juil.	New Brunswick	Nouveau-Brunswick	Male	Hommes	620
2023	Q2	Jun	2023	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	220
2022	Q1	Feb	2022	T1	fév.	Yukon	Yukon	Female	Femmes	35
2021	Q4	Oct	2021	T4	oct.	British Columbia	Colombie-Britannique	Female	Femmes	4230
2016	Q1	Feb	2016	T1	fév.	Nunavut	Nunavut	Male	Hommes	--
2015	Q4	Dec	2015	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	100
2016	Q3	Aug	2016	T3	août	Nunavut	Nunavut	Female	Femmes	--
2015	Q1	Jan	2015	T1	janv.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	10
2015	Q4	Dec	2015	T4	déc.	Nunavut	Nunavut	Female	Femmes	--
2024	Q3	Aug	2024	T3	août	Saskatchewan	Saskatchewan	Male	Hommes	995
2021	Q3	Sep	2021	T3	sept.	Manitoba	Manitoba	Female	Femmes	725
2022	Q1	Jan	2022	T1	janv.	Yukon	Yukon	Male	Hommes	20
2024	Q4	Oct	2024	T4	oct.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	115
2024	Q3	Aug	2024	T3	août	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	5
2024	Q3	Jul	2024	T3	juil.	Manitoba	Manitoba	Female	Femmes	1360
2021	Q4	Dec	2021	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	200
2021	Q2	Jun	2021	T2	juin	Ontario	Ontario	Female	Femmes	8860
2021	Q4	Dec	2021	T4	déc.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	5
2018	Q2	Apr	2018	T2	avr.	British Columbia	Colombie-Britannique	Another gender	Un autre genre	--
2022	Q3	Aug	2022	T3	août	Quebec	Québec	Another gender	Un autre genre	--
2019	Q2	May	2019	T2	mai	Ontario	Ontario	Another gender	Un autre genre	--
2022	Q2	Jun	2022	T2	juin	New Brunswick	Nouveau-Brunswick	Female	Femmes	535
2016	Q4	Nov	2016	T4	nov.	Yukon	Yukon	Female	Femmes	10
2023	Q3	Jul	2023	T3	juil.	Saskatchewan	Saskatchewan	Female	Femmes	1245
2020	Q3	Jul	2020	T3	juil.	Alberta	Alberta	Female	Femmes	890
2015	Q3	Jul	2015	T3	juil.	Ontario	Ontario	Female	Femmes	5155
2024	Q4	Nov	2024	T4	nov.	Saskatchewan	Saskatchewan	Male	Hommes	705
2020	Q2	May	2020	T2	mai	Quebec	Québec	Male	Hommes	720
2021	Q3	Sep	2021	T3	sept.	Alberta	Alberta	Female	Femmes	2185
2019	Q1	Mar	2019	T1	mars	New Brunswick	Nouveau-Brunswick	Male	Hommes	270
2021	Q3	Sep	2021	T3	sept.	Quebec	Québec	Female	Femmes	2745
2018	Q1	Feb	2018	T1	fév.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	250
2019	Q1	Jan	2019	T1	janv.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2024	Q4	Dec	2024	T4	déc.	British Columbia	Colombie-Britannique	Female	Femmes	2275
2021	Q2	Jun	2021	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	55
2019	Q3	Sep	2019	T3	sept.	British Columbia	Colombie-Britannique	Male	Hommes	2500
2019	Q2	May	2019	T2	mai	Nova Scotia	Nouvelle-Écosse	Male	Hommes	410
2018	Q3	Jul	2018	T3	juil.	Saskatchewan	Saskatchewan	Female	Femmes	680
2017	Q1	Feb	2017	T1	fév.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	75
2024	Q4	Dec	2024	T4	déc.	Manitoba	Manitoba	Female	Femmes	675
2024	Q1	Jan	2024	T1	janv.	Saskatchewan	Saskatchewan	Male	Hommes	1020
2025	Q4	Nov	2025	T4	nov.	Manitoba	Manitoba	Male	Hommes	635
2015	Q2	Jun	2015	T2	juin	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	40
2017	Q2	Apr	2017	T2	avr.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	165
2015	Q1	Jan	2015	T1	janv.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	20
2026	Q1	Jan	2026	T1	janv.	Alberta	Alberta	Male	Hommes	1495
2023	Q4	Oct	2023	T4	oct.	Yukon	Yukon	Male	Hommes	25
2018	Q1	Feb	2018	T1	fév.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	220
2017	Q1	Feb	2017	T1	fév.	Saskatchewan	Saskatchewan	Male	Hommes	535
2025	Q4	Dec	2025	T4	déc.	Alberta	Alberta	Female	Femmes	1965
2024	Q3	Aug	2024	T3	août	British Columbia	Colombie-Britannique	Male	Hommes	2760
2021	Q3	Jul	2021	T3	juil.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	390
2023	Q3	Sep	2023	T3	sept.	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	10
2021	Q3	Sep	2021	T3	sept.	Saskatchewan	Saskatchewan	Female	Femmes	475
2025	Q1	Feb	2025	T1	fév.	Nunavut	Nunavut	Female	Femmes	--
2015	Q1	Mar	2015	T1	mars	Ontario	Ontario	Male	Hommes	3755
2018	Q1	Jan	2018	T1	janv.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	185
2025	Q2	Jun	2025	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	240
2025	Q4	Nov	2025	T4	nov.	Yukon	Yukon	Female	Femmes	15
2021	Q2	May	2021	T2	mai	Alberta	Alberta	Male	Hommes	790
2023	Q2	Apr	2023	T2	avr.	Alberta	Alberta	Female	Femmes	1800
2025	Q4	Nov	2025	T4	nov.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	170
2024	Q2	Apr	2024	T2	avr.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	845
2022	Q1	Feb	2022	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	85
2020	Q2	May	2020	T2	mai	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	20
2017	Q4	Dec	2017	T4	déc.	Saskatchewan	Saskatchewan	Female	Femmes	390
2018	Q4	Nov	2018	T4	nov.	Ontario	Ontario	Male	Hommes	5010
2024	Q3	Sep	2024	T3	sept.	Manitoba	Manitoba	Female	Femmes	920
2019	Q1	Jan	2019	T1	janv.	Yukon	Yukon	Female	Femmes	5
2022	Q4	Oct	2022	T4	oct.	Yukon	Yukon	Male	Hommes	--
2023	Q4	Nov	2023	T4	nov.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	5
2022	Q3	Jul	2022	T3	juil.	Alberta	Alberta	Gender not stated	Sexe non déclaré	--
2015	Q3	Jul	2015	T3	juil.	Manitoba	Manitoba	Male	Hommes	830
2019	Q2	Apr	2019	T2	avr.	Alberta	Alberta	Female	Femmes	1905
2019	Q4	Oct	2019	T4	oct.	Saskatchewan	Saskatchewan	Male	Hommes	820
2019	Q4	Dec	2019	T4	déc.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	220
2017	Q2	May	2017	T2	mai	Saskatchewan	Saskatchewan	Male	Hommes	670
2016	Q1	Mar	2016	T1	mars	Quebec	Québec	Male	Hommes	2170
2024	Q2	Jun	2024	T2	juin	New Brunswick	Nouveau-Brunswick	Female	Femmes	770
2017	Q2	Apr	2017	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	50
2018	Q4	Oct	2018	T4	oct.	Yukon	Yukon	Male	Hommes	15
2016	Q3	Jul	2016	T3	juil.	Nunavut	Nunavut	Male	Hommes	--
2024	Q4	Nov	2024	T4	nov.	Ontario	Ontario	Male	Hommes	8065
2024	Q1	Mar	2024	T1	mars	Ontario	Ontario	Female	Femmes	7685
2017	Q3	Jul	2017	T3	juil.	New Brunswick	Nouveau-Brunswick	Male	Hommes	185
2025	Q2	Apr	2025	T2	avr.	Saskatchewan	Saskatchewan	Male	Hommes	480
2026	Q1	Jan	2026	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	95
2023	Q4	Oct	2023	T4	oct.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	5
2017	Q4	Oct	2017	T4	oct.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	5
2022	Q1	Feb	2022	T1	fév.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2025	Q4	Dec	2025	T4	déc.	Nova Scotia	Nouvelle-Écosse	Another gender	Un autre genre	--
2024	Q3	Sep	2024	T3	sept.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	90
2019	Q1	Jan	2019	T1	janv.	Saskatchewan	Saskatchewan	Male	Hommes	370
2023	Q1	Jan	2023	T1	janv.	New Brunswick	Nouveau-Brunswick	Female	Femmes	550
2019	Q3	Jul	2019	T3	juil.	Alberta	Alberta	Female	Femmes	2075
2020	Q2	Jun	2020	T2	juin	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	75
2020	Q2	Apr	2020	T2	avr.	New Brunswick	Nouveau-Brunswick	Female	Femmes	20
2015	Q4	Oct	2015	T4	oct.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	60
2015	Q2	May	2015	T2	mai	Yukon	Yukon	Female	Femmes	10
2016	Q3	Sep	2016	T3	sept.	Quebec	Québec	Female	Femmes	2155
2016	Q3	Jul	2016	T3	juil.	Saskatchewan	Saskatchewan	Female	Femmes	765
2022	Q2	May	2022	T2	mai	New Brunswick	Nouveau-Brunswick	Male	Hommes	390
2018	Q2	May	2018	T2	mai	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	5
2015	Q4	Nov	2015	T4	nov.	British Columbia	Colombie-Britannique	Male	Hommes	1230
2016	Q4	Oct	2016	T4	oct.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2021	Q4	Nov	2021	T4	nov.	New Brunswick	Nouveau-Brunswick	Female	Femmes	350
2018	Q4	Oct	2018	T4	oct.	Nunavut	Nunavut	Female	Femmes	--
2015	Q2	May	2015	T2	mai	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	60
2017	Q1	Feb	2017	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	40
2022	Q1	Mar	2022	T1	mars	New Brunswick	Nouveau-Brunswick	Female	Femmes	365
2018	Q4	Dec	2018	T4	déc.	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	5
2024	Q2	May	2024	T2	mai	New Brunswick	Nouveau-Brunswick	Female	Femmes	850
2020	Q3	Sep	2020	T3	sept.	Ontario	Ontario	Female	Femmes	3220
2025	Q3	Sep	2025	T3	sept.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	415
2017	Q4	Dec	2017	T4	déc.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	60
2021	Q3	Aug	2021	T3	août	British Columbia	Colombie-Britannique	Male	Hommes	3835
2021	Q4	Dec	2021	T4	déc.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	125
2018	Q1	Jan	2018	T1	janv.	Quebec	Québec	Female	Femmes	1300
2020	Q3	Jul	2020	T3	juil.	Alberta	Alberta	Male	Hommes	755
2021	Q4	Nov	2021	T4	nov.	Saskatchewan	Saskatchewan	Male	Hommes	670
2021	Q1	Feb	2021	T1	fév.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	155
2025	Q1	Jan	2025	T1	janv.	Saskatchewan	Saskatchewan	Male	Hommes	1025
2022	Q4	Dec	2022	T4	déc.	Nunavut	Nunavut	Male	Hommes	--
2025	Q3	Aug	2025	T3	août	Nunavut	Nunavut	Female	Femmes	--
2021	Q1	Jan	2021	T1	janv.	Ontario	Ontario	Female	Femmes	5850
2015	Q2	Jun	2015	T2	juin	Province/territory not stated	Province / territoire non déclaré(e)	Male	Hommes	--
2020	Q4	Oct	2020	T4	oct.	Yukon	Yukon	Female	Femmes	5
2015	Q1	Feb	2015	T1	fév.	Province/territory not stated	Province / territoire non déclaré(e)	Male	Hommes	--
2023	Q4	Oct	2023	T4	oct.	British Columbia	Colombie-Britannique	Female	Femmes	2335
2024	Q4	Dec	2024	T4	déc.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	300
2020	Q2	Apr	2020	T2	avr.	New Brunswick	Nouveau-Brunswick	Male	Hommes	35
2021	Q2	Apr	2021	T2	avr.	Manitoba	Manitoba	Male	Hommes	555
2018	Q1	Mar	2018	T1	mars	New Brunswick	Nouveau-Brunswick	Female	Femmes	220
2016	Q3	Jul	2016	T3	juil.	Saskatchewan	Saskatchewan	Male	Hommes	715
2018	Q4	Dec	2018	T4	déc.	New Brunswick	Nouveau-Brunswick	Female	Femmes	145
2019	Q3	Sep	2019	T3	sept.	British Columbia	Colombie-Britannique	Female	Femmes	2620
2015	Q1	Jan	2015	T1	janv.	Saskatchewan	Saskatchewan	Male	Hommes	295
2019	Q1	Feb	2019	T1	fév.	Quebec	Québec	Female	Femmes	1220
2017	Q3	Sep	2017	T3	sept.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	80
2017	Q3	Jul	2017	T3	juil.	Manitoba	Manitoba	Female	Femmes	655
2021	Q2	Apr	2021	T2	avr.	Alberta	Alberta	Female	Femmes	1040
2023	Q1	Jan	2023	T1	janv.	New Brunswick	Nouveau-Brunswick	Male	Hommes	650
2020	Q2	Jun	2020	T2	juin	Ontario	Ontario	Another gender	Un autre genre	--
2018	Q4	Oct	2018	T4	oct.	Nunavut	Nunavut	Male	Hommes	--
2024	Q2	Jun	2024	T2	juin	British Columbia	Colombie-Britannique	Male	Hommes	2480
2019	Q1	Feb	2019	T1	fév.	Quebec	Québec	Male	Hommes	1140
2020	Q1	Feb	2020	T1	fév.	Manitoba	Manitoba	Male	Hommes	570
2017	Q2	Apr	2017	T2	avr.	New Brunswick	Nouveau-Brunswick	Female	Femmes	150
2021	Q2	Apr	2021	T2	avr.	Yukon	Yukon	Female	Femmes	5
2015	Q4	Nov	2015	T4	nov.	Ontario	Ontario	Male	Hommes	3630
2021	Q3	Sep	2021	T3	sept.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	135
2019	Q2	May	2019	T2	mai	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	130
2016	Q4	Oct	2016	T4	oct.	British Columbia	Colombie-Britannique	Male	Hommes	970
2015	Q2	Apr	2015	T2	avr.	Manitoba	Manitoba	Female	Femmes	605
2025	Q4	Oct	2025	T4	oct.	Nunavut	Nunavut	Female	Femmes	--
2018	Q4	Oct	2018	T4	oct.	Saskatchewan	Saskatchewan	Male	Hommes	590
2025	Q1	Mar	2025	T1	mars	Alberta	Alberta	Male	Hommes	2210
2017	Q4	Nov	2017	T4	nov.	Manitoba	Manitoba	Male	Hommes	405
2017	Q4	Oct	2017	T4	oct.	Saskatchewan	Saskatchewan	Female	Femmes	525
2020	Q2	May	2020	T2	mai	British Columbia	Colombie-Britannique	Male	Hommes	900
2017	Q2	Apr	2017	T2	avr.	Quebec	Québec	Male	Hommes	2500
2025	Q3	Jul	2025	T3	juil.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	435
2018	Q2	Jun	2018	T2	juin	Alberta	Alberta	Female	Femmes	1880
2016	Q3	Sep	2016	T3	sept.	Saskatchewan	Saskatchewan	Male	Hommes	475
2017	Q2	Apr	2017	T2	avr.	British Columbia	Colombie-Britannique	Male	Hommes	1540
2019	Q4	Oct	2019	T4	oct.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	60
2015	Q2	Apr	2015	T2	avr.	Yukon	Yukon	Male	Hommes	20
2022	Q3	Aug	2022	T3	août	British Columbia	Colombie-Britannique	Male	Hommes	2300
2015	Q2	Apr	2015	T2	avr.	Quebec	Québec	Male	Hommes	2035
2015	Q1	Mar	2015	T1	mars	New Brunswick	Nouveau-Brunswick	Male	Hommes	140
2025	Q2	May	2025	T2	mai	Quebec	Québec	Female	Femmes	3790
2024	Q1	Feb	2024	T1	fév.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2023	Q4	Oct	2023	T4	oct.	Alberta	Alberta	Male	Hommes	2180
2017	Q4	Nov	2017	T4	nov.	Province/territory not stated	Province / territoire non déclaré(e)	Male	Hommes	--
2019	Q3	Aug	2019	T3	août	Ontario	Ontario	Another gender	Un autre genre	--
2025	Q3	Sep	2025	T3	sept.	Ontario	Ontario	Male	Hommes	6640
2020	Q1	Mar	2020	T1	mars	New Brunswick	Nouveau-Brunswick	Male	Hommes	175
2022	Q1	Feb	2022	T1	fév.	Alberta	Alberta	Male	Hommes	2170
2018	Q2	Apr	2018	T2	avr.	New Brunswick	Nouveau-Brunswick	Female	Femmes	175
2022	Q3	Sep	2022	T3	sept.	New Brunswick	Nouveau-Brunswick	Male	Hommes	550
2023	Q2	Jun	2023	T2	juin	Alberta	Alberta	Female	Femmes	2575
2021	Q3	Jul	2021	T3	juil.	Yukon	Yukon	Female	Femmes	30
2016	Q1	Mar	2016	T1	mars	Manitoba	Manitoba	Male	Hommes	855
2025	Q3	Aug	2025	T3	août	Ontario	Ontario	Female	Femmes	6775
2025	Q2	Apr	2025	T2	avr.	New Brunswick	Nouveau-Brunswick	Male	Hommes	415
2021	Q1	Jan	2021	T1	janv.	New Brunswick	Nouveau-Brunswick	Male	Hommes	145
2025	Q3	Sep	2025	T3	sept.	Quebec	Québec	Female	Femmes	2885
2020	Q4	Oct	2020	T4	oct.	Ontario	Ontario	Male	Hommes	3390
2016	Q1	Mar	2016	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	65
2021	Q4	Dec	2021	T4	déc.	Saskatchewan	Saskatchewan	Female	Femmes	620
2022	Q2	Jun	2022	T2	juin	Alberta	Alberta	Female	Femmes	2530
2018	Q2	May	2018	T2	mai	Manitoba	Manitoba	Female	Femmes	820
2026	Q1	Jan	2026	T1	janv.	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	20
2017	Q2	Jun	2017	T2	juin	Nova Scotia	Nouvelle-Écosse	Male	Hommes	220
2022	Q4	Dec	2022	T4	déc.	Ontario	Ontario	Female	Femmes	4630
2021	Q2	May	2021	T2	mai	Quebec	Québec	Female	Femmes	1200
2020	Q3	Sep	2020	T3	sept.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	120
2022	Q3	Sep	2022	T3	sept.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	15
2018	Q3	Jul	2018	T3	juil.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	110
2025	Q1	Jan	2025	T1	janv.	Yukon	Yukon	Female	Femmes	55
2024	Q3	Aug	2024	T3	août	Nova Scotia	Nouvelle-Écosse	Male	Hommes	795
2024	Q2	Jun	2024	T2	juin	Saskatchewan	Saskatchewan	Male	Hommes	1275
2020	Q4	Nov	2020	T4	nov.	Alberta	Alberta	Male	Hommes	990
2024	Q1	Feb	2024	T1	fév.	Nunavut	Nunavut	Male	Hommes	--
2024	Q1	Jan	2024	T1	janv.	Nunavut	Nunavut	Female	Femmes	--
2023	Q3	Jul	2023	T3	juil.	Province/territory not stated	Province / territoire non déclaré(e)	Male	Hommes	--
2017	Q1	Jan	2017	T1	janv.	Alberta	Alberta	Female	Femmes	2425
2021	Q1	Feb	2021	T1	fév.	Nunavut	Nunavut	Male	Hommes	--
2022	Q4	Oct	2022	T4	oct.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	220
2017	Q1	Mar	2017	T1	mars	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	155
2021	Q1	Mar	2021	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	10
2019	Q3	Jul	2019	T3	juil.	British Columbia	Colombie-Britannique	Female	Femmes	2930
2025	Q3	Jul	2025	T3	juil.	Alberta	Alberta	Male	Hommes	2200
2020	Q4	Oct	2020	T4	oct.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	65
2020	Q4	Dec	2020	T4	déc.	British Columbia	Colombie-Britannique	Male	Hommes	890
2016	Q1	Mar	2016	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	5
2017	Q4	Dec	2017	T4	déc.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	215
2018	Q4	Oct	2018	T4	oct.	British Columbia	Colombie-Britannique	Female	Femmes	1780
2020	Q3	Aug	2020	T3	août	Ontario	Ontario	Male	Hommes	2515
2021	Q3	Jul	2021	T3	juil.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	250
2019	Q4	Dec	2019	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	65
2015	Q4	Nov	2015	T4	nov.	Nunavut	Nunavut	Male	Hommes	--
2015	Q3	Sep	2015	T3	sept.	Quebec	Québec	Male	Hommes	2020
2015	Q1	Mar	2015	T1	mars	Manitoba	Manitoba	Male	Hommes	750
2016	Q4	Nov	2016	T4	nov.	Ontario	Ontario	Female	Femmes	3130
2019	Q4	Nov	2019	T4	nov.	Alberta	Alberta	Male	Hommes	1575
2025	Q3	Sep	2025	T3	sept.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	80
2022	Q2	Apr	2022	T2	avr.	Alberta	Alberta	Female	Femmes	2320
2024	Q1	Mar	2024	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	205
2019	Q2	May	2019	T2	mai	Yukon	Yukon	Female	Femmes	15
2021	Q1	Mar	2021	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	--
2020	Q1	Mar	2020	T1	mars	Alberta	Alberta	Female	Femmes	1325
2023	Q2	Apr	2023	T2	avr.	Nova Scotia	Nouvelle-Écosse	Male	Hommes	320
2020	Q1	Jan	2020	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	95
2025	Q3	Aug	2025	T3	août	Quebec	Québec	Female	Femmes	2625
2023	Q2	Jun	2023	T2	juin	Manitoba	Manitoba	Female	Femmes	910
